POSITION,CHAMP_YEAR,DIVISION,EVENT,SEX,ATHLETE,YEAR,TEAM,TIME,TIME_SECS,MARK,CONV,POINTS,MEET,MEET DATE
13,2012,D2,Hep,Women,"Daughenbaugh, Lynzi",SO-2,Tiffin,,,,,4900.0,Princeton Larry Ellis Invitational,"Apr 20, 2012"
14,2012,D2,Hep,Women,"Vengels, Lisa",SR-4,Missouri Southern,,,,,4856.0,2012 MIAA Championships,"May 4, 2012"
15,2012,D2,Hep,Women,"Moultrie, Aysha",SR-4,TAMU-Commerce,,,,,4844.0,Lone Star Conference Championships,"May 3, 2012"
16,2012,D2,Hep,Women,"Caldwell, Macy",,Ashland,,,,,4832.0,GLIAC Outdoor Track & Field Championship,"May 2, 2012"
17,2012,D2,Hep,Women,"Brooks, Cassie",,Abilene Christian,,,,,4801.0,Lone Star Conference Championships,"May 3, 2012"
18,2012,D2,Hep,Women,"Bassitt, Kendra",SR-4,Ashland,,,,,4773.0,GVSU 2nd to Last Chance Meet,"May 11, 2012"
19,2012,D2,Hep,Women,"Wyatt, Danita",SR-4,CSU-Pueblo,,,,,4768.0,2012 RMAC Outdoor Championships,"May 6, 2012"
20,2012,D2,Hep,Women,"Miller, Chanel",,Minnesota-Duluth,,,,,4757.0,Northern Sun Intercollege Conference Multi-Events,"Apr 29, 2012"
21,2012,D2,Hep,Women,"Gray, Jordan",FR-1,Angelo State,,,,,4749.0,Lone Star Conference Championships,"May 3, 2012"
22,2012,D2,Hep,Women,"Marchildon, Megan",SO-2,Lewis,,,,,4695.0,Washington University Invite,"Mar 30, 2012"
23,2012,D2,Hep,Women,"Johnson, Tess",FR-1,U-Mary,,,,,4601.0,Northern Sun Intercollege Conference Multi-Events,"Apr 29, 2012"
24,2012,D2,Hep,Women,"Craig, Stacee",SR-4,Chadron State,,,,,4589.0,Mt. SAC Relays/CA Invitational Multi Events,"Apr 18, 2012"
1,2012,D2,JT,Men,"Beeler, Mike",SR-4,Pittsburg St.,,,71.84m,"235' 8""",,PSU Gorilla Classic,"Apr 14, 2012"
2,2012,D2,JT,Men,"Howe, Nick",SR-4,UC San Diego,,,69.80m,"229' 0""",,33rd Sun Angel Classic - Invited College,"Apr 5, 2012"
3,2012,D2,JT,Men,"Kreim, Tyler",SR-4,Ashland,,,67.49m,"221' 5""",,All Ohio Championships 2012,"Apr 20, 2012"
4,2012,D2,JT,Men,"McDonald, Jacob",SR-4,Angelo State,,,66.77m,"219' 1""",,ACU Oliver Jackson Twilight Track and Field Meet,"May 9, 2012"
5,2012,D2,JT,Men,"Nothstein, Derek",,Shippensburg,,,65.97m,"216' 5""",,PSAC Outdoor Track & Field Championship,"May 3, 2012"
6,2012,D2,JT,Men,"Shirk, Justin",SO-2,Bloomsburg,,,65.83m,"216' 0""",,Bloomsburg Maroon and Gold Invite,"Apr 27, 2012"
7,2012,D2,JT,Men,"Parker, Cody",FR-1,Alaska Anchorage,,,65.63m,"215' 4""",,Beach Invitational,"Apr 20, 2012"
8,2012,D2,JT,Men,"Harrison, Alex",SR-4,Western Washington,,,65.42m,"214' 7""",,GNAC Outdoor Track & Field Championships,"May 11, 2012"
9,2012,D2,JT,Men,"Tholis, Matt",SO-2,East Stroudsburg,,,64.77m,"212' 6""",,PSAC Outdoor Track & Field Championship,"May 3, 2012"
10,2012,D2,JT,Men,"Schleicher, Ryan",JR-3,California (Pa.),,,64.72m,"212' 4""",,Millersville Metrics & Multis,"Apr 6, 2012"
11,2012,D2,JT,Men,"Charbonneau, Benjamin",SR-4,Lake Superior State,,,64.35m,"211' 1""",,GLIAC Outdoor Track & Field Championship,"May 2, 2012"
12,2012,D2,JT,Men,"Draper, Daniel",SR-4,Eastern New Mexico,,,64.15m,"210' 5""",,West Texas A&M Open,"Apr 28, 2012"
13,2012,D2,JT,Men,"Crockett, Cody",SR-4,Findlay,,,63.26m,"207' 6""",,GLIAC Outdoor Track & Field Championship,"May 2, 2012"
14,2012,D2,JT,Men,"Rolshausen, Tyler",JR-3,Kutztown,,,63.03m,"206' 9""",,Richmond Fred Hardy Invitational,"Mar 30, 2012"
15,2012,D2,JT,Men,"Gonzalez, Omar",SO-2,So. Conn. St.,,,62.97m,"206' 7""",,NEICAAA Outdoor Track & Field Championship,"May 10, 2012"
16,2012,D2,JT,Men,"Gelcius, John",SR-4,Stonehill,,,62.38m,"204' 8""",,NEICAAA Outdoor Track & Field Championship,"May 10, 2012"
17,2012,D2,JT,Men,"Hughes, Calvin",SR-4,Pittsburg St.,,,62.27m,"204' 3""",,Fort Hays State Quad,"Apr 7, 2012"
18,2012,D2,JT,Men,"Keller, Braden",JR-3,Central Washington,,,61.87m,"203' 0""",,Saint Martin's Track & Field Invitational,"Apr 28, 2012"
19,2012,D2,JT,Men,"Dunbar, Zach",JR-3,Adams State,,,61.57m,"202' 0""",,CSU-Pueblo Combined Events & Invitational,"Apr 12, 2012"
20,2012,D2,JT,Men,"Durham, Jake",JR-3,Fort Hays St.,,,61.41m,"201' 6""",,Sam Williams Twilight Qualifier,"May 12, 2012"
21,2012,D2,JT,Men,"Janusey, Nate",SR-4,Seton Hill,,,61.32m,"201' 2""",,Virginia Challenge,"May 12, 2012"
22,2012,D2,JT,Men,"Hubbard, Scott",JR-3,Cal St. Los Angeles,,,61.07m,"200' 4""",,2012 Cal-Nevada Championships,"Mar 31, 2012"
23,2012,D2,JT,Men,"Libuit, Kiley",JR-3,UC San Diego,,,60.93m,"199' 11""",,2012 Cal-Nevada Championships,"Mar 31, 2012"
24,2012,D2,JT,Men,"Howe, Nash",FR-1,UC San Diego,,,60.69m,"199' 1""",,CCAA Track & Field Championships,"May 3, 2012"
1,2012,D2,JT,Women,"Aanstad, Brittany",SR-4,Seattle Pacific,,,49.35m,"161' 11""",,WAR 5 - NW Scoring Clash,"Apr 7, 2012"
2,2012,D2,JT,Women,"McPhail, Makayla",SO-2,Fort Hays St.,,,48.56m,"159' 4""",,2012 MIAA Championships,"May 4, 2012"
3,2012,D2,JT,Women,"Schumaker, Amanda",SO-2,Western Oregon,,,48.43m,"158' 11""",,Beach Invitational,"Apr 20, 2012"
4,2012,D2,JT,Women,"Hanslovan, Kim",SR-4,Clarion,,,46.64m,"153' 0""",,Shamrock Invitational,"Mar 15, 2012"
5,2012,D2,JT,Women,"Dunkin, Sara",,Emporia St.,,,45.65m,"149' 9""",,ESU Spring Open,"Mar 31, 2012"
6,2012,D2,JT,Women,"Riley, Mary",,Central Missouri,,,45.57m,"149' 6""",,2012 MIAA Championships,"May 4, 2012"
7,2012,D2,JT,Women,"Reichert, Katie",FR-1,Western Washington,,,45.21m,"148' 4""",,GNAC Multi-Events Championships,"Apr 30, 2012"
8,2012,D2,JT,Women,"Kidder, Ana",SR-4,Ashland,,,44.82m,"147' 0""",,South Carolina Weems Baskin Invitational,"Mar 23, 2012"
9,2012,D2,JT,Women,"Alvarez, Stacey",SR-4,P.R.-Mayaguez,,,44.25m,"145' 2""",,Justas LAI 2012,"Apr 20, 2012"
10,2012,D2,JT,Women,"Sanner, Mallory",SO-2,Seton Hill,,,44.10m,"144' 8""",,Duke Invitational,"Apr 6, 2012"
11,2012,D2,JT,Women,"Church, Seabre",SO-2,Western Oregon,,,43.31m,"142' 1""",,John Knight Twilight,"Apr 13, 2012"
12,2012,D2,JT,Women,"Arnold, Alexandra",JR-3,Slippery Rock,,,43.04m,"141' 2""",,Ashland University Alumni Open,"Apr 27, 2012"
13,2012,D2,JT,Women,"Williams, Kimberly",SO-2,Angelo State,,,42.94m,"140' 10""",,David Noble/Angelo State Relays,"Apr 5, 2012"
14,2012,D2,JT,Women,"McClarrinon, Bridget",JR-3,Chico State,,,42.79m,"140' 5""",,Chico Twilight & Distance Carnival,"Apr 13, 2012"
15,2012,D2,JT,Women,"Brown, Holly",JR-3,Fort Hays St.,,,42.73m,"140' 2""",,2012 Fort Hays State Open,"Apr 28, 2012"
15,2012,D2,JT,Women,"Gutierrez, Samantha",JR-3,Cal St. Los Angeles,,,42.73m,"140' 2""",,CCAA Track & Field Championships,"May 3, 2012"
17,2012,D2,JT,Women,"Berryman, Madison",,Central Oklahoma,,,42.44m,"139' 3""",,2012 John Jacobs Invitational,"Apr 14, 2012"
18,2012,D2,JT,Women,"Miklaski, Jessica",JR-3,UC San Diego,,,42.35m,"138' 11""",,CCAA Track & Field Championships,"May 3, 2012"
19,2012,D2,JT,Women,"Friestad, Vanessa",SR-4,U-Mary,,,42.29m,"138' 9""",,NSU Open,"Apr 5, 2012"
20,2012,D2,JT,Women,"Merton, Ashley",SO-2,Shippensburg,,,41.79m,"137' 1""",,Bison Outdoor Classic 2012,"Apr 14, 2012"
21,2012,D2,JT,Women,"Walter, Kate",SR-4,NW Missouri,,,41.76m,"137' 0""",,ESU Spring Twilight,"Mar 15, 2012"
22,2012,D2,JT,Women,"Alvarez, Samantha",JR-3,TAMU-Kingsville,,,41.67m,"136' 8""",,LSU Relays (College/Open),"Mar 23, 2012"
22,2012,D2,JT,Women,"Gross, Katy",JR-3,Seattle Pacific,,,41.67m,"136' 8""",,WWU Twilite Track & Field Meet,"May 4, 2012"
24,2012,D2,JT,Women,"Mitchell, Ameilia",,Abilene Christian,,,41.59m,"136' 5""",,Lone Star Conference Championships,"May 3, 2012"
1,2012,D2,LJ,Men,"Soles, Keenan",SO-2,Pittsburg St.,,,7.80m,"25' 7.25""",,PSU Wendy's Open Invite,"Mar 31, 2012"
2,2012,D2,LJ,Men,"Hill, AAron",FR-1,Grand Canyon,,,7.68m,"25' 2.5""",,2012 Baldy Castillo Invitational,"Mar 16, 2012"
3,2012,D2,LJ,Men,"Williams, Levance",SR-4,Abilene Christian,,,7.65m,"25' 1.25""",,Michael Johnson/Dr. Pepper Classic,"Apr 21, 2012"
4,2012,D2,LJ,Men,"Kirkland, Herman",SO-2,Shippensburg,,,7.61m,"24' 11.75""",,Georgian Court Last Chance Meet,"May 13, 2012"
5,2012,D2,LJ,Men,"Stewart, Karlin",JR-3,Grand Canyon,,,7.58m,"24' 10.5""",,Beach Invitational,"Apr 20, 2012"
6,2012,D2,LJ,Men,"Bryant, Giorgio",SR-4,Cal St. Los Angeles,,,7.56m,"24' 9.75""",,54th Annual Mt. SAC Relays,"Apr 19, 2012"
7,2012,D2,LJ,Men,"Jones, Kiara",SR-4,Pittsburg St.,,,7.55m,"24' 9.25""",,2012 MIAA Championships,"May 4, 2012"
8,2012,D2,LJ,Men,"DeJean, Anthony",FR-1,American Int'l,,,7.51m,"24' 7.75""",,Raleigh Relays,"Mar 30, 2012"
9,2012,D2,LJ,Men,"Flournoy, Jerel",SR-4,Indianapolis,,,7.49m,"24' 7""",,2012 Outdoor GLVC Track and Field Championships,"May 4, 2012"
10,2012,D2,LJ,Men,"Griggs, CJ",SO-2,TAMU-Kingsville,,,7.48m,"24' 6.5""",,Lone Star Conference Championships,"May 3, 2012"
11,2012,D2,LJ,Men,"Wilcox, Donald",,Emporia St.,,,7.47m,"24' 6.25""",,2012 MIAA Championships,"May 4, 2012"
12,2012,D2,LJ,Men,"Dosu, Abdullah",SR-4,Cal St. Stanislaus,,,7.46m,"24' 5.75""",,Chico Twilight & Distance Carnival,"Apr 13, 2012"
12,2012,D2,LJ,Men,"Hudi, Randall",JR-3,Indianapolis,,,7.46m,"24' 5.75""",,GVSU Last Chance Meet,"May 12, 2012"
14,2012,D2,LJ,Men,"Hunter, Patrick",JR-3,Angelo State,,,7.41m,"24' 3.75""",,Lone Star Conference Championships,"May 3, 2012"
15,2012,D2,LJ,Men,"Hogg, Darian",,Abilene Christian,,,7.38m,"24' 2.5""",,ACU Oliver Jackson Twilight Track and Field Meet,"May 9, 2012"
16,2012,D2,LJ,Men,"Bailey, William",JR-3,Bowie State,,,7.37m,"24' 2.25""",,Norfolk State University Relays,"Apr 14, 2012"
16,2012,D2,LJ,Men,"Wilkinson, DeJon",SO-2,St. Augustine's,,,7.37m,"24' 2.25""",,CIAA Outdoor Track & Field Championships,"Apr 20, 2012"
18,2012,D2,LJ,Men,"Calenda, Maurice",SR-4,American Int'l,,,7.36m,"24' 1.75""",,University of Massachusetts Spring Meet,"Apr 14, 2012"
19,2012,D2,LJ,Men,"Riordan, Mark",SO-2,Fort Hays St.,,,7.35m,"24' 1.5""",,2012 MIAA Championships,"May 4, 2012"
20,2012,D2,LJ,Men,"Budd, Jerry",FR-1,West Virginia Wesleyan,,,7.34m,"24' 1""",,WVIAC Track & Field Championships,"Apr 27, 2012"
20,2012,D2,LJ,Men,"Hardie, Matson",SO-2,Western Oregon,,,7.34m,"24' 1""",,GNAC Outdoor Track & Field Championships,"May 11, 2012"
22,2012,D2,LJ,Men,"Kurzinski, Aron",SR-4,Seton Hill,,,7.33m,"24' 0.75""",,Campbell Wright Open,"May 4, 2012"
23,2012,D2,LJ,Men,"McClelland, Taylor",,Missouri Southern,,,7.31m,"23' 11.75""",,PSU Wendy's Open Invite,"Mar 31, 2012"
23,2012,D2,LJ,Men,"Robinson, Laquone",JR-3,MSU-Moorhead,,,7.31m,"23' 11.75""",,NSIC Outdoor Track & Field Championships,"May 11, 2012"
1,2012,D2,LJ,Women,"Beaumont, Nickeisha",SO-2,Lincoln (Mo.),,,6.38m,"20' 11.25""",,2012 MIAA Championships,"May 4, 2012"
2,2012,D2,LJ,Women,"Grant, Jillisa",SR-4,New Mexico Highlands,,,6.33m,"20' 9.25""",,New Mexico Tailwind Invitational,"Apr 6, 2012"
3,2012,D2,LJ,Women,"Sue, Theresa",SO-2,Angelo State,,,6.21m,"20' 4.5""",,Lone Star Conference Championships,"May 3, 2012"
4,2012,D2,LJ,Women,"Zweifel, Jennifer",SR-4,Truman State,,,6.15m,"20' 2.25""",,2012 MIAA Championships,"May 4, 2012"
5,2012,D2,LJ,Women,"Lettow, Lindsay",SR-4,Central Missouri,,,6.14m,"20' 1.75""",,2012 MIAA Championships,"May 4, 2012"
6,2012,D2,LJ,Women,"Bemis, Tabitha",,Edinboro,,,6.13m,"20' 1.5""",,PSAC Outdoor Track & Field Championship,"May 3, 2012"
7,2012,D2,LJ,Women,"Duffus, Ann-Marie",SO-2,Grand Canyon,,,6.11m,"20' 0.5""",,New Mexico Tailwind Invitational,"Apr 6, 2012"
8,2012,D2,LJ,Women,"Abraham, Brittany",,Virginia Union,,,6.10m,"20' 0.25""",,CIAA Outdoor Track & Field Championships,"Apr 20, 2012"
9,2012,D2,LJ,Women,"Ajavon, Laurie",JR-3,Indiana (Pa.),,,6.03m,"19' 9.5""",,PSAC Outdoor Track & Field Championship,"May 3, 2012"
10,2012,D2,LJ,Women,"Hargraves, Whitney",SR-4,TAMU-Commerce,,,5.94m,"19' 6""",,Lone Star Conference Championships,"May 3, 2012"
10,2012,D2,LJ,Women,"Lindsey, Diane",SR-4,Lincoln (Pa.),,,5.94m,"19' 6""",,Ramapo College Roadrunner Invitational,"Apr 6, 2012"
12,2012,D2,LJ,Women,"Reid, Xahnn-Georgia",,Johnson C. Smith,,,5.93m,"19' 5.5""",,CIAA Outdoor Track & Field Championships,"Apr 20, 2012"
12,2012,D2,LJ,Women,"Schmidt, Jenna",SR-4,Central Missouri,,,5.93m,"19' 5.5""",,2012 MIAA Championships,"May 4, 2012"
14,2012,D2,LJ,Women,"Alewine, Erin",,Central Missouri,,,5.92m,"19' 5.25""",,2012 MIAA Championships,"May 4, 2012"
15,2012,D2,LJ,Women,"Shelton, Morgan",,West Texas A&M,,,5.91m,"19' 4.75""",,Lone Star Conference Championships,"May 3, 2012"
16,2012,D2,LJ,Women,"Bourne, Cheryl",SR-4,Ashland,,,5.90m,"19' 4.25""",,GVSU 2nd to Last Chance Meet,"May 11, 2012"
16,2012,D2,LJ,Women,"Pratt, Lauren",SR-4,Incarnate Word,,,5.90m,"19' 4.25""",,Incarnate Word Last Chance Meet,"May 10, 2012"
18,2012,D2,LJ,Women,"Hope, Karla",SR-4,Abilene Christian,,,5.88m,"19' 3.5""",,Lone Star Conference Championships,"May 3, 2012"
18,2012,D2,LJ,Women,"Miller, Shakeisha",,Lincoln (Mo.),,,5.88m,"19' 3.5""",,2012 MIAA Championships,"May 4, 2012"
20,2012,D2,LJ,Women,"Ebenja, Cathy",SR-4,Harding,,,5.87m,"19' 3.25""",,Harding Bison Invitational,"Apr 7, 2012"
20,2012,D2,LJ,Women,"Ellks, Kayla",,Tiffin,,,5.87m,"19' 3.25""",,GVSU 2nd to Last Chance Meet,"May 11, 2012"
20,2012,D2,LJ,Women,"Langford, Erin",SR-4,UC San Diego,,,5.87m,"19' 3.25""",,2012 PLNU Collegiate Scoring Meet,"Mar 22, 2012"
20,2012,D2,LJ,Women,"Nelson, Stephanie",,Incarnate Word,,,5.87m,"19' 3.25""",,Lone Star Conference Championships,"May 3, 2012"
24,2012,D2,LJ,Women,"King, Carmen",,Emporia St.,,,5.86m,"19' 2.75""",,Sam Williams Twilight Qualifier,"May 12, 2012"
1,2012,D2,PV,Men,"Frawley, Vince",JR-3,Grand Canyon,,,5.20m,"17' 0.75""",,New Mexico Tailwind Invitational,"Apr 6, 2012"
2,2012,D2,PV,Men,"Piepenbrink, Jeff",FR-1,Pittsburg St.,,,5.11m,"16' 9.25""",,Sam Williams Twilight Qualifier,"May 12, 2012"
3,2012,D2,PV,Men,"Myers, Bret",JR-3,Grand Valley St.,,,5.07m,"16' 7.5""",,GVSU 2nd to Last Chance Meet,"May 11, 2012"
4,2012,D2,PV,Men,"Hellwig, Dan",SR-4,Missouri S&T,,,5.06m,"16' 7.25""",,MSSU Invitational,"Apr 27, 2012"
5,2012,D2,PV,Men,"Daugherty, Cameron",SR-4,Slippery Rock,,,5.05m,"16' 6.75""",,Shamrock Invitational,"Mar 15, 2012"
5,2012,D2,PV,Men,"Smith, Christopher A.",SR-4,Benedict,,,5.05m,"16' 6.75""",,Johnson C. Smith Invitational,"Apr 13, 2012"
7,2012,D2,PV,Men,"McDonald, Jacob",SR-4,Angelo State,,,5.03m,"16' 6""",,Lone Star Conference Championships,"May 3, 2012"
7,2012,D2,PV,Men,"Monticalvo, Caleb",SR-4,Cal St. Stanislaus,,,5.03m,"16' 6""",,CCAA Track & Field Championships,"May 3, 2012"
9,2012,D2,PV,Men,"Frawley, Eric",JR-3,Grand Canyon,,,4.96m,"16' 3.25""",,CSULA Twilight Open,"Apr 19, 2012"
10,2012,D2,PV,Men,"Gelo, Raphael",SR-4,Grand Valley St.,,,4.95m,"16' 2.75""",,GLIAC Outdoor Track & Field Championship,"May 2, 2012"
11,2012,D2,PV,Men,"Novak, Dan",SR-4,Minnesota State,,,4.93m,"16' 2""",,NSIC Outdoor Track & Field Championships,"May 11, 2012"
11,2012,D2,PV,Men,"Ottley, Brett",SO-2,Fort Hays St.,,,4.93m,"16' 2""",,2012 MIAA Championships,"May 4, 2012"
11,2012,D2,PV,Men,"Snyder, Colbie",JR-3,Pittsburg St.,,,4.93m,"16' 2""",,2012 MIAA Championships,"May 4, 2012"
14,2012,D2,PV,Men,"Klucar, Eric",JR-3,Lake Erie,,,4.91m,"16' 1.25""",,Ashland University Alumni Open,"Apr 27, 2012"
14,2012,D2,PV,Men,"Maxwell, Kyle",,Cal St. Stanislaus,,,4.91m,"16' 1.25""",,CSULA Last Chance Qualifier,"May 12, 2012"
16,2012,D2,PV,Men,"Juergens, Michael",,Missouri Southern,,,4.86m,"15' 11.25""",,Sam Williams Twilight Qualifier,"May 12, 2012"
17,2012,D2,PV,Men,"Horner, Jeremy",SO-2,Grand Valley St.,,,4.85m,"15' 11""",,GLIAC Outdoor Track & Field Championship,"May 2, 2012"
17,2012,D2,PV,Men,"Ortega, Mike",,Cal St. Stanislaus,,,4.85m,"15' 11""",,CSU Stanislaus Twilight Qualifier,"May 11, 2012"
19,2012,D2,PV,Men,"Gennett, Bryan",SR-4,Bellarmine,,,4.83m,"15' 10""",,2012 Outdoor GLVC Track and Field Championships,"May 4, 2012"
19,2012,D2,PV,Men,"Snodgrass, Derrick",JR-3,Fort Hays St.,,,4.83m,"15' 10""",,2012 MIAA Championships,"May 4, 2012"
19,2012,D2,PV,Men,"Tyler, Jordan",SR-4,Cal St. Los Angeles,,,4.83m,"15' 10""",,CCAA Track & Field Championships,"May 3, 2012"
22,2012,D2,PV,Men,"Aldrich, Jacob",SR-4,Indianapolis,,,4.81m,"15' 9.25""",,Louisville Cardinal Twilight,"May 11, 2012"
23,2012,D2,PV,Men,"Ellerbee, Justin",,Cal Poly Pomona,,,4.80m,"15' 9""",,CSULA Last Chance Qualifier,"May 12, 2012"
23,2012,D2,PV,Men,"Escaravage, Justin",JR-3,So. Conn. St.,,,4.80m,"15' 9""",,Northeast-10 Outdoor Track & Field Championships,"May 4, 2012"
1,2012,D2,PV,Women,"Hixson, Kristen",JR-3,Grand Valley St.,,,4.16m,"13' 7.75""",,GVSU 2nd to Last Chance Meet,"May 11, 2012"
2,2012,D2,PV,Women,"Caldwell, Kayla",,Hillsdale,,,4.05m,"13' 3.5""",,Hillsdale Invitational,"Apr 14, 2012"
3,2012,D2,PV,Women,"Morgan, Sian",JR-3,Cal St. Stanislaus,,,3.95m,"12' 11.5""",,CSU Stanislaus Twilight Qualifier,"May 11, 2012"
4,2012,D2,PV,Women,"Kuksa, Jocelyn",SR-4,Grand Valley St.,,,3.91m,"12' 10""",,GVSU Last Chance Meet,"May 12, 2012"
5,2012,D2,PV,Women,"Breski, Megan",JR-3,Shippensburg,,,3.90m,"12' 9.5""",,VMI-W&L Track & Field Carnival,"Mar 23, 2012"
6,2012,D2,PV,Women,"Roberts, Jaime",,Northern Michigan,,,3.86m,"12' 8""",,GLIAC Outdoor Track & Field Championship,"May 2, 2012"
7,2012,D2,PV,Women,"Anderson, Karis",JR-3,Western Washington,,,3.85m,"12' 7.5""",,2012 Ralph Vernacchia Team Track & Field Meet,"Mar 30, 2012"
7,2012,D2,PV,Women,"Warren, Brittney",SR-4,Grand Canyon,,,3.85m,"12' 7.5""",,adidas/Steve Scott Invitational,"Apr 28, 2012"
9,2012,D2,PV,Women,"Nageotte, Katie",,Ashland,,,3.81m,"12' 6""",,GVSU Last Chance Meet,"May 12, 2012"
10,2012,D2,PV,Women,"Sutherland, Summer",SO-2,Angelo State,,,3.80m,"12' 5.5""",,UTA Bobby Lane Invitational,"Mar 24, 2012"
11,2012,D2,PV,Women,"Bower, Melanie",FR-1,Missouri Southern,,,3.78m,"12' 4.75""",,2012 MIAA Championships,"May 4, 2012"
12,2012,D2,PV,Women,"Cain, Julia",SO-2,Slippery Rock,,,3.76m,"12' 4""",,6th Annual Gator Invitational,"May 11, 2012"
12,2012,D2,PV,Women,"Wackernagel, Chelsea",SR-4,Hillsdale,,,3.76m,"12' 4""",,GLIAC Outdoor Track & Field Championship,"May 2, 2012"
14,2012,D2,PV,Women,"Coffman, Kelsey",SR-4,Angelo State,,,3.75m,"12' 3.5""",,2012 Cactus Cup,"Mar 17, 2012"
15,2012,D2,PV,Women,"Davis, Kati",SR-4,Central Washington,,,3.73m,"12' 2.75""",,GNAC Outdoor Track & Field Championships,"May 11, 2012"
15,2012,D2,PV,Women,"Fehilly, Miranda",SR-4,U-Mary,,,3.73m,"12' 2.75""",,University of Mary Marauder Open,"Apr 15, 2012"
17,2012,D2,PV,Women,"Colvin, Alex",JR-3,UC-Colo. Spgs.,,,3.71m,"12' 2""",,2012 Concordia Twilight,"May 11, 2012"
17,2012,D2,PV,Women,"Foster, Jennifer",,Ashland,,,3.71m,"12' 2""",,GVSU Last Chance Meet,"May 12, 2012"
19,2012,D2,PV,Women,"Ederle, Rachel",,Missouri S&T,,,3.70m,"12' 1.5""",,MSSU Invitational,"Apr 27, 2012"
19,2012,D2,PV,Women,"Johnson, Kimberly",JR-3,So. Conn. St.,,,3.70m,"12' 1.5""",,NEICAAA Outdoor Track & Field Championship,"May 10, 2012"
19,2012,D2,PV,Women,"Langford, Vanessa",SO-2,Missouri Southern,,,3.70m,"12' 1.5""",,MSSU Invitational,"Apr 27, 2012"
22,2012,D2,PV,Women,"Novtony, Kari",,Minnesota-Duluth,,,3.67m,"12' 0.5""",,Twin Ports Open,"Apr 17, 2012"
23,2012,D2,PV,Women,"Chambers, Tiffany",JR-3,Harding,,,3.66m,"12' 0""",,UCA Open,"Apr 20, 2012"
23,2012,D2,PV,Women,"Suppes, Briana",JR-3,Colorado Mines,,,3.66m,"12' 0""",,WSC-GHS Combined Invitational,"Apr 20, 2012"
1,2012,D2,SP,Men,"Jones, Nick",SR-4,Abilene Christian,,,19.57m,"64' 2.5""",,Lone Star Conference Championships,"May 3, 2012"
2,2012,D2,SP,Men,"Vicars, Derrick",SR-4,Findlay,,,19.43m,"63' 9""",,Louisville Cardinal Twilight,"May 11, 2012"
3,2012,D2,SP,Men,"Hunt, Cody",JR-3,Chadron State,,,19.32m,"63' 4.75""",,2012 RMAC Outdoor Championships,"May 6, 2012"
4,2012,D2,SP,Men,"Reed, Christopher",,Minnesota State,,,18.31m,"60' 1""",,CSULA Twilight Open,"Apr 19, 2012"
5,2012,D2,SP,Men,"Royer, Matt",SR-4,Indianapolis,,,17.74m,"58' 2.5""",,UF Tom Jones Invitational,"Apr 21, 2012"
6,2012,D2,SP,Men,"Bass, Darren",,Findlay,,,17.63m,"57' 10.25""",,GLIAC Outdoor Track & Field Championship,"May 2, 2012"
7,2012,D2,SP,Men,"Pemberton, John",SR-4,Tiffin,,,17.56m,"57' 7.5""",,Shamrock Invitational,"Mar 15, 2012"
8,2012,D2,SP,Men,"Miller, Taylor",,Findlay,,,17.41m,"57' 1.5""",,GLIAC Outdoor Track & Field Championship,"May 2, 2012"
8,2012,D2,SP,Men,"Smith, Ryan",JR-3,Indianapolis,,,17.41m,"57' 1.5""",,Bellarmine Invitational,"Apr 6, 2012"
8,2012,D2,SP,Men,"Stiffler, Donny",SR-4,Grand Valley St.,,,17.41m,"57' 1.5""",,GVSU vs. SVSU,"Mar 31, 2012"
11,2012,D2,SP,Men,"Lavong, Wesley",SO-2,Adams State,,,17.30m,"56' 9.25""",,Jack Christiansen Invitational,"Apr 27, 2012"
12,2012,D2,SP,Men,"Thompson, Zak",,Central Missouri,,,17.27m,"56' 8""",,2012 MIAA Championships,"May 4, 2012"
13,2012,D2,SP,Men,"Thompson, Kaleb",SR-4,St. Joseph's (Ind.),,,17.21m,"56' 5.75""",,Indiana Little State Championships,"Apr 13, 2012"
14,2012,D2,SP,Men,"English, Nathan",JR-3,Hillsdale,,,17.16m,"56' 3.75""",,GVSU 2nd to Last Chance Meet,"May 11, 2012"
15,2012,D2,SP,Men,"Moreau, Ross",FR-1,Indiana (Pa.),,,17.03m,"55' 10.5""",,PSAC Outdoor Track & Field Championship,"May 3, 2012"
16,2012,D2,SP,Men,"Hamrick, Dane",SR-4,West Texas A&M,,,16.91m,"55' 5.75""",,Texas Tech Open,"Apr 14, 2012"
17,2012,D2,SP,Men,"Kapukotuwa, Charith",SO-2,Chadron State,,,16.83m,"55' 2.75""",,2012 RMAC Outdoor Championships,"May 6, 2012"
18,2012,D2,SP,Men,"Washington, Sam",,St. Martin's,,,16.82m,"55' 2.25""",,GNAC Outdoor Track & Field Championships,"May 11, 2012"
19,2012,D2,SP,Men,"Trevino, Jose",JR-3,TAMU-Kingsville,,,16.79m,"55' 1""",,Incarnate Word Invitational,"Mar 2, 2012"
20,2012,D2,SP,Men,"Thomas, Tyler",JR-3,Lock Haven,,,16.77m,"55' 0.25""",,PSAC Outdoor Track & Field Championship,"May 3, 2012"
21,2012,D2,SP,Men,"Hackney, Seth",,Missouri Southern,,,16.44m,"53' 11.25""",,2012 MIAA Championships,"May 4, 2012"
22,2012,D2,SP,Men,"Watson, Ja Mar",FR-1,Florida Tech,,,16.38m,"53' 9""",,Georgia Tech Invitational,"May 11, 2012"
